cr5,cr3,cr2,cr1,cr4,cost
1,0,2,13,1,3800
1,1,2,8,1,3800
1,2,2,3,1,3800
1,0,0,2,3,3800
1,0,0,10,2,3800
1,1,0,5,2,3800
1,2,0,0,2,3800
1,0,0,18,1,3800
1,1,0,13,1,3800
1,2,0,8,1,3800
1,3,0,3,1,3800
0,0,4,4,3,3800
0,0,2,1,4,3800
0,0,2,9,3,3800
0,1,2,4,3,3800
0,0,0,6,4,3800
0,1,0,1,4,3800
0,0,0,14,3,3800
0,1,0,9,3,3800
0,2,0,4,3,3800
1,0,7,1,1,3850
1,0,5,6,1,3850
1,1,5,1,1,3850
1,0,3,3,2,3850
1,0,3,11,1,3850
1,1,3,6,1,3850
1,2,3,1,1,3850
1,0,1,0,3,3850
1,0,1,8,2,3850
1,1,1,3,2,3850
1,0,1,16,1,3850
1,1,1,11,1,3850
1,2,1,6,1,3850
1,3,1,1,1,3850
0,0,9,0,2,3850
0,0,7,5,2,3850
0,1,7,0,2,3850
0,0,5,2,3,3850
0,0,5,10,2,3850
0,1,5,5,2,3850
0,2,5,0,2,3850
0,0,3,7,3,3850
0,1,3,2,3,3850
0,0,3,15,2,3850
0,1,3,10,2,3850
0,2,3,5,2,3850
0,3,3,0,2,3850
0,0,1,4,4,3850
0,0,1,12,3,3850
0,1,1,7,3,3850
0,2,1,2,3,3850
0,1,1,15,2,3850
0,2,1,10,2,3850
0,3,1,5,2,3850
0,4,1,0,2,3850
1,0,6,4,1,3900
1,0,4,1,2,3900
1,0,4,9,1,3900
1,1,4,4,1,3900
1,0,2,6,2,3900
1,1,2,1,2,3900
1,0,2,14,1,3900
1,1,2,9,1,3900
1,2,2,4,1,3900
1,0,0,3,3,3900
1,0,0,11,2,3900
1,1,0,6,2,3900
1,2,0,1,2,3900
1,0,0,19,1,3900
1,1,0,14,1,3900
1,2,0,9,1,3900
1,3,0,4,1,3900
0,0,8,3,2,3900
0,0,6,0,3,3900
0,0,6,8,2,3900
0,1,6,3,2,3900
0,0,4,5,3,3900
0,1,4,0,3,3900
0,0,4,13,2,3900
0,1,4,8,2,3900
0,2,4,3,2,3900
0,0,2,2,4,3900
0,0,2,10,3,3900
0,1,2,5,3,3900
0,2,2,0,3,3900
0,0,2,18,2,3900
0,1,2,13,2,3900
0,2,2,8,2,3900
0,3,2,3,2,3900
0,0,0,7,4,3900
0,1,0,2,4,3900
0,0,0,15,3,3900
0,1,0,10,3,3900
0,2,0,5,3,3900
0,3,0,0,3,3900
0,1,0,18,2,3900
0,2,0,13,2,3900
0,3,0,8,2,3900
0,4,0,3,2,3900
1,0,9,5,0,3950
1,1,9,0,0,3950
1,0,7,2,1,3950
1,0,7,10,0,3950
1,1,7,5,0,3950
1,2,7,0,0,3950
1,0,5,7,1,3950
1,1,5,2,1,3950
1,0,5,15,0,3950
1,1,5,10,0,3950
1,2,5,5,0,3950
1,3,5,0,0,3950
1,0,3,4,2,3950
1,0,3,12,1,3950
1,1,3,7,1,3950
1,2,3,2,1,3950
1,1,3,15,0,3950
1,2,3,10,0,3950
1,3,3,5,0,3950
1,4,3,0,0,3950
1,0,1,1,3,3950
1,0,1,9,2,3950
1,1,1,4,2,3950
1,0,1,17,1,3950
1,1,1,12,1,3950
1,2,1,7,1,3950
1,3,1,2,1,3950
1,2,1,15,0,3950
1,3,1,10,0,3950
1,4,1,5,0,3950
1,5,1,0,0,3950
0,0,9,1,2,3950
0,0,7,6,2,3950
0,1,7,1,2,3950
0,0,5,3,3,3950
0,0,5,11,2,3950
0,1,5,6,2,3950
0,2,5,1,2,3950
0,0,3,0,4,3950
0,0,3,8,3,3950
0,1,3,3,3,3950
0,0,3,16,2,3950
0,1,3,11,2,3950
0,2,3,6,2,3950
0,3,3,1,2,3950
0,0,1,5,4,3950
0,1,1,0,4,3950
0,0,1,13,3,3950
0,1,1,8,3,3950
0,2,1,3,3,3950
0,1,1,16,2,3950
0,2,1,11,2,3950
0,3,1,6,2,3950
0,4,1,1,2,3950
1,0,10,3,0,4000
1,0,8,0,1,4000
1,0,8,8,0,4000
1,1,8,3,0,4000
1,0,6,5,1,4000
1,1,6,0,1,4000
1,0,6,13,0,4000
1,1,6,8,0,4000
1,2,6,3,0,4000
1,0,4,2,2,4000
1,0,4,10,1,4000
1,1,4,5,1,4000
1,2,4,0,1,4000
1,0,4,18,0,4000
1,1,4,13,0,4000
1,2,4,8,0,4000
1,3,4,3,0,4000
1,0,2,7,2,4000
1,1,2,2,2,4000
1,0,2,15,1,4000
1,1,2,10,1,4000
1,2,2,5,1,4000
1,3,2,0,1,4000
1,1,2,18,0,4000
1,2,2,13,0,4000
1,3,2,8,0,4000
1,4,2,3,0,4000
1,0,0,4,3,4000
1,0,0,12,2,4000
1,1,0,7,2,4000
1,2,0,2,2,4000
1,1,0,15,1,4000
1,2,0,10,1,4000
1,3,0,5,1,4000
1,4,0,0,1,4000
1,2,0,18,0,4000
1,3,0,13,0,4000
1,4,0,8,0,4000
1,5,0,3,0,4000
0,0,8,4,2,4000
0,0,6,1,3,4000
0,0,6,9,2,4000
0,1,6,4,2,4000
0,0,4,6,3,4000
0,1,4,1,3,4000
0,0,4,14,2,4000
0,1,4,9,2,4000
0,2,4,4,2,4000
0,0,2,3,4,4000
0,0,2,11,3,4000
0,1,2,6,3,4000
0,2,2,1,3,4000
0,0,2,19,2,4000
0,1,2,14,2,4000
0,2,2,9,2,4000
0,3,2,4,2,4000
0,0,0,0,5,4000
0,0,0,8,4,4000
0,1,0,3,4,4000
0,0,0,16,3,4000
0,1,0,11,3,4000
0,2,0,6,3,4000
0,3,0,1,3,4000
0,1,0,19,2,4000
0,2,0,14,2,4000
0,3,0,9,2,4000
0,4,0,4,2,4000
1,0,9,6,0,4050
1,1,9,1,0,4050
1,0,7,3,1,4050
1,0,7,11,0,4050
1,1,7,6,0,4050
1,2,7,1,0,4050
1,0,5,0,2,4050
1,0,5,8,1,4050
1,1,5,3,1,4050
1,0,5,16,0,4050
1,1,5,11,0,4050
1,2,5,6,0,4050
1,3,5,1,0,4050
1,0,3,5,2,4050
1,1,3,0,2,4050
1,0,3,13,1,4050
1,1,3,8,1,4050
1,2,3,3,1,4050
1,1,3,16,0,4050
1,2,3,11,0,4050
1,3,3,6,0,4050
1,4,3,1,0,4050
1,0,1,2,3,4050
1,0,1,10,2,4050
1,1,1,5,2,4050
1,2,1,0,2,4050
1,0,1,18,1,4050
1,1,1,13,1,4050
1,2,1,8,1,4050
1,3,1,3,1,4050
1,2,1,16,0,4050
1,3,1,11,0,4050
1,4,1,6,0,4050
1,5,1,1,0,4050
0,0,9,2,2,4050
0,0,7,7,2,4050
0,1,7,2,2,4050
0,0,5,4,3,4050
0,0,5,12,2,4050
0,1,5,7,2,4050
0,2,5,2,2,4050
0,0,3,1,4,4050
0,0,3,9,3,4050
0,1,3,4,3,4050
0,0,3,17,2,4050
0,1,3,12,2,4050
0,2,3,7,2,4050
0,3,3,2,2,4050
0,0,1,6,4,4050
0,1,1,1,4,4050
0,0,1,14,3,4050
0,1,1,9,3,4050
0,2,1,4,3,4050
0,1,1,17,2,4050
0,2,1,12,2,4050
0,3,1,7,2,4050
0,4,1,2,2,4050
1,0,10,4,0,4100
1,0,8,1,1,4100
1,0,8,9,0,4100
1,1,8,4,0,4100
1,0,6,6,1,4100
1,1,6,1,1,4100
1,0,6,14,0,4100
1,1,6,9,0,4100
1,2,6,4,0,4100
1,0,4,3,2,4100
1,0,4,11,1,4100
1,1,4,6,1,4100
1,2,4,1,1,4100
1,0,4,19,0,4100
1,1,4,14,0,4100
1,2,4,9,0,4100
1,3,4,4,0,4100
1,0,2,0,3,4100
1,0,2,8,2,4100
1,1,2,3,2,4100
1,0,2,16,1,4100
1,1,2,11,1,4100
1,2,2,6,1,4100
1,3,2,1,1,4100
1,1,2,19,0,4100
1,2,2,14,0,4100
1,3,2,9,0,4100
1,4,2,4,0,4100
1,0,0,5,3,4100
1,1,0,0,3,4100
1,0,0,13,2,4100
1,1,0,8,2,4100
1,2,0,3,2,4100
1,1,0,16,1,4100
1,2,0,11,1,4100
1,3,0,6,1,4100
1,4,0,1,1,4100
1,2,0,19,0,4100
1,3,0,14,0,4100
1,4,0,9,0,4100
1,5,0,4,0,4100
0,0,10,0,2,4100
0,0,8,5,2,4100
0,1,8,0,2,4100
0,0,6,2,3,4100
0,0,6,10,2,4100
0,1,6,5,2,4100
0,2,6,0,2,4100
0,0,4,7,3,4100
0,1,4,2,3,4100
0,0,4,15,2,4100
0,1,4,10,2,4100
0,2,4,5,2,4100
0,3,4,0,2,4100
0,0,2,4,4,4100
0,0,2,12,3,4100
0,1,2,7,3,4100
0,2,2,2,3,4100
0,1,2,15,2,4100
0,2,2,10,2,4100
0,3,2,5,2,4100
0,4,2,0,2,4100
0,0,0,1,5,4100
0,0,0,9,4,4100
0,1,0,4,4,4100
0,0,0,17,3,4100
0,1,0,12,3,4100
0,2,0,7,3,4100
0,3,0,2,3,4100
0,2,0,15,2,4100
0,3,0,10,2,4100
0,4,0,5,2,4100
0,5,0,0,2,4100
1,0,9,7,0,4150
1,1,9,2,0,4150
1,0,7,4,1,4150
1,0,7,12,0,4150
1,1,7,7,0,4150
1,2,7,2,0,4150
1,0,5,1,2,4150
1,0,5,9,1,4150
1,1,5,4,1,4150
1,0,5,17,0,4150
1,1,5,12,0,4150
1,2,5,7,0,4150
1,3,5,2,0,4150
1,0,3,6,2,4150
1,1,3,1,2,4150
1,0,3,14,1,4150
1,1,3,9,1,4150
1,2,3,4,1,4150
1,1,3,17,0,4150
1,2,3,12,0,4150
1,3,3,7,0,4150
1,4,3,2,0,4150
1,0,1,3,3,4150
1,0,1,11,2,4150
1,1,1,6,2,4150
1,2,1,1,2,4150
1,0,1,19,1,4150
1,1,1,14,1,4150
1,2,1,9,1,4150
1,3,1,4,1,4150
1,2,1,17,0,4150
1,3,1,12,0,4150
1,4,1,7,0,4150
1,5,1,2,0,4150
0,0,9,3,2,4150
0,0,7,0,3,4150
0,0,7,8,2,4150
0,1,7,3,2,4150
0,0,5,5,3,4150
0,1,5,0,3,4150
0,0,5,13,2,4150
0,1,5,8,2,4150
0,2,5,3,2,4150
0,0,3,2,4,4150
0,0,3,10,3,4150
0,1,3,5,3,4150
0,2,3,0,3,4150
0,0,3,18,2,4150
0,1,3,13,2,4150
0,2,3,8,2,4150
0,3,3,3,2,4150
0,0,1,7,4,4150
0,1,1,2,4,4150
0,0,1,15,3,4150
0,1,1,10,3,4150
0,2,1,5,3,4150
0,3,1,0,3,4150
0,1,1,18,2,4150
0,2,1,13,2,4150
0,3,1,8,2,4150
0,4,1,3,2,4150
1,0,10,5,0,4200
1,1,10,0,0,4200
1,0,8,2,1,4200
1,0,8,10,0,4200
1,1,8,5,0,4200
1,2,8,0,0,4200
1,0,6,7,1,4200
1,1,6,2,1,4200
1,0,6,15,0,4200
1,1,6,10,0,4200
1,2,6,5,0,4200
1,3,6,0,0,4200
1,0,4,4,2,4200
1,0,4,12,1,4200
1,1,4,7,1,4200
1,2,4,2,1,4200
1,1,4,15,0,4200
1,2,4,10,0,4200
1,3,4,5,0,4200
1,4,4,0,0,4200
1,0,2,1,3,4200
1,0,2,9,2,4200
1,1,2,4,2,4200
1,0,2,17,1,4200
1,1,2,12,1,4200
1,2,2,7,1,4200
1,3,2,2,1,4200
1,2,2,15,0,4200
1,3,2,10,0,4200
1,4,2,5,0,4200
1,5,2,0,0,4200
1,0,0,6,3,4200
1,1,0,1,3,4200
1,0,0,14,2,4200
1,1,0,9,2,4200
1,2,0,4,2,4200
1,1,0,17,1,4200
1,2,0,12,1,4200
1,3,0,7,1,4200
1,4,0,2,1,4200
1,3,0,15,0,4200
1,4,0,10,0,4200
1,5,0,5,0,4200
1,6,0,0,0,4200
0,0,10,1,2,4200
0,0,8,6,2,4200
0,1,8,1,2,4200
0,0,6,3,3,4200
0,0,6,11,2,4200
0,1,6,6,2,4200
0,2,6,1,2,4200
0,0,4,0,4,4200
0,0,4,8,3,4200
0,1,4,3,3,4200
0,0,4,16,2,4200
0,1,4,11,2,4200
0,2,4,6,2,4200
0,3,4,1,2,4200
0,0,2,5,4,4200
0,1,2,0,4,4200
0,0,2,13,3,4200
0,1,2,8,3,4200
0,2,2,3,3,4200
0,1,2,16,2,4200
0,2,2,11,2,4200
0,3,2,6,2,4200
0,4,2,1,2,4200
0,0,0,2,5,4200
0,0,0,10,4,4200
0,1,0,5,4,4200
0,2,0,0,4,4200
0,0,0,18,3,4200
0,1,0,13,3,4200
0,2,0,8,3,4200
0,3,0,3,3,4200
0,2,0,16,2,4200
0,3,0,11,2,4200
0,4,0,6,2,4200
0,5,0,1,2,4200
1,0,9,0,1,4250
1,0,9,8,0,4250
1,1,9,3,0,4250
1,0,7,5,1,4250
1,1,7,0,1,4250
1,0,7,13,0,4250
1,1,7,8,0,4250
1,2,7,3,0,4250
1,0,5,2,2,4250
1,0,5,10,1,4250
1,1,5,5,1,4250
1,2,5,0,1,4250
1,0,5,18,0,4250
1,1,5,13,0,4250
1,2,5,8,0,4250
1,3,5,3,0,4250
1,0,3,7,2,4250
1,1,3,2,2,4250
1,0,3,15,1,4250
1,1,3,10,1,4250
1,2,3,5,1,4250
1,3,3,0,1,4250
1,1,3,18,0,4250
1,2,3,13,0,4250
1,3,3,8,0,4250
1,4,3,3,0,4250
1,0,1,4,3,4250
1,0,1,12,2,4250
1,1,1,7,2,4250
1,2,1,2,2,4250
1,1,1,15,1,4250
1,2,1,10,1,4250
1,3,1,5,1,4250
1,4,1,0,1,4250
1,2,1,18,0,4250
1,3,1,13,0,4250
1,4,1,8,0,4250
1,5,1,3,0,4250
0,0,9,4,2,4250
0,0,7,1,3,4250
0,0,7,9,2,4250
0,1,7,4,2,4250
0,0,5,6,3,4250
0,1,5,1,3,4250
0,0,5,14,2,4250
0,1,5,9,2,4250
0,2,5,4,2,4250
0,0,3,3,4,4250
0,0,3,11,3,4250
0,1,3,6,3,4250
0,2,3,1,3,4250
0,0,3,19,2,4250
0,1,3,14,2,4250
0,2,3,9,2,4250
0,3,3,4,2,4250
0,0,1,0,5,4250
0,0,1,8,4,4250
0,1,1,3,4,4250
0,0,1,16,3,4250
0,1,1,11,3,4250
0,2,1,6,3,4250
0,3,1,1,3,4250
0,1,1,19,2,4250
0,2,1,14,2,4250
0,3,1,9,2,4250
0,4,1,4,2,4250
1,0,10,6,0,4300
1,1,10,1,0,4300
1,0,8,3,1,4300
1,0,8,11,0,4300
1,1,8,6,0,4300
1,2,8,1,0,4300
1,0,6,0,2,4300
1,0,6,8,1,4300
1,1,6,3,1,4300
1,0,6,16,0,4300
1,1,6,11,0,4300
1,2,6,6,0,4300
1,3,6,1,0,4300
1,0,4,5,2,4300
1,1,4,0,2,4300
1,0,4,13,1,4300
1,1,4,8,1,4300
1,2,4,3,1,4300
1,1,4,16,0,4300
1,2,4,11,0,4300
1,3,4,6,0,4300
1,4,4,1,0,4300
1,0,2,2,3,4300
1,0,2,10,2,4300
1,1,2,5,2,4300
1,2,2,0,2,4300
1,0,2,18,1,4300
1,1,2,13,1,4300
1,2,2,8,1,4300
1,3,2,3,1,4300
1,2,2,16,0,4300
1,3,2,11,0,4300
1,4,2,6,0,4300
1,5,2,1,0,4300
1,0,0,7,3,4300
1,1,0,2,3,4300
1,0,0,15,2,4300
1,1,0,10,2,4300
1,2,0,5,2,4300
1,3,0,0,2,4300
1,1,0,18,1,4300
1,2,0,13,1,4300
1,3,0,8,1,4300
1,4,0,3,1,4300
1,3,0,16,0,4300
1,4,0,11,0,4300
1,5,0,6,0,4300
1,6,0,1,0,4300
0,0,10,2,2,4300
0,0,10,10,1,4300
0,1,10,5,1,4300
0,2,10,0,1,4300
0,0,8,7,2,4300
0,1,8,2,2,4300
0,0,8,15,1,4300
0,1,8,10,1,4300
0,2,8,5,1,4300
0,3,8,0,1,4300
0,0,6,4,3,4300
0,0,6,12,2,4300
0,1,6,7,2,4300
0,2,6,2,2,4300
0,1,6,15,1,4300
0,2,6,10,1,4300
0,3,6,5,1,4300
0,4,6,0,1,4300
0,0,4,1,4,4300
0,0,4,9,3,4300
0,1,4,4,3,4300
0,0,4,17,2,4300
0,1,4,12,2,4300
0,2,4,7,2,4300
0,3,4,2,2,4300
0,2,4,15,1,4300
0,3,4,10,1,4300
0,4,4,5,1,4300
0,5,4,0,1,4300
0,0,2,6,4,4300
0,1,2,1,4,4300
0,0,2,14,3,4300
0,1,2,9,3,4300
0,2,2,4,3,4300
0,1,2,17,2,4300
0,2,2,12,2,4300
0,3,2,7,2,4300
0,4,2,2,2,4300
0,3,2,15,1,4300
0,4,2,10,1,4300
0,5,2,5,1,4300
0,6,2,0,1,4300
0,0,0,3,5,4300
0,0,0,11,4,4300
0,1,0,6,4,4300
0,2,0,1,4,4300
0,0,0,19,3,4300
0,1,0,14,3,4300
0,2,0,9,3,4300
0,3,0,4,3,4300
0,2,0,17,2,4300
0,3,0,12,2,4300
0,4,0,7,2,4300
0,5,0,2,2,4300
0,4,0,15,1,4300
0,5,0,10,1,4300
0,6,0,5,1,4300
0,7,0,0,1,4300
1,0,9,1,1,4350
1,0,9,9,0,4350
1,1,9,4,0,4350
1,0,7,6,1,4350
1,1,7,1,1,4350
1,0,7,14,0,4350
1,1,7,9,0,4350
1,2,7,4,0,4350
1,0,5,3,2,4350
1,0,5,11,1,4350
1,1,5,6,1,4350
1,2,5,1,1,4350
1,0,5,19,0,4350
1,1,5,14,0,4350
1,2,5,9,0,4350
1,3,5,4,0,4350
1,0,3,0,3,4350
1,0,3,8,2,4350
1,1,3,3,2,4350
1,0,3,16,1,4350
1,1,3,11,1,4350
1,2,3,6,1,4350
1,3,3,1,1,4350
1,1,3,19,0,4350
1,2,3,14,0,4350
1,3,3,9,0,4350
1,4,3,4,0,4350
1,0,1,5,3,4350
1,1,1,0,3,4350
1,0,1,13,2,4350
1,1,1,8,2,4350
1,2,1,3,2,4350
1,1,1,16,1,4350
1,2,1,11,1,4350
1,3,1,6,1,4350
1,4,1,1,1,4350
1,2,1,19,0,4350
1,3,1,14,0,4350
1,4,1,9,0,4350
1,5,1,4,0,4350
0,0,9,5,2,4350
0,1,9,0,2,4350
0,0,9,13,1,4350
0,1,9,8,1,4350
0,2,9,3,1,4350
0,0,7,2,3,4350
0,0,7,10,2,4350
0,1,7,5,2,4350
0,2,7,0,2,4350
0,0,7,18,1,4350
0,1,7,13,1,4350
0,2,7,8,1,4350
0,3,7,3,1,4350
0,0,5,7,3,4350
0,1,5,2,3,4350
0,0,5,15,2,4350
0,1,5,10,2,4350
0,2,5,5,2,4350
0,3,5,0,2,4350
0,1,5,18,1,4350
0,2,5,13,1,4350
0,3,5,8,1,4350
0,4,5,3,1,4350
0,0,3,4,4,4350
0,0,3,12,3,4350
0,1,3,7,3,4350
0,2,3,2,3,4350
0,1,3,15,2,4350
0,2,3,10,2,4350
0,3,3,5,2,4350
0,4,3,0,2,4350
0,2,3,18,1,4350
0,3,3,13,1,4350
0,4,3,8,1,4350
0,5,3,3,1,4350
0,0,1,1,5,4350
0,0,1,9,4,4350
0,1,1,4,4,4350
0,0,1,17,3,4350
0,1,1,12,3,4350
0,2,1,7,3,4350
0,3,1,2,3,4350
0,2,1,15,2,4350
0,3,1,10,2,4350
0,4,1,5,2,4350
0,5,1,0,2,4350
0,3,1,18,1,4350
0,4,1,13,1,4350
0,5,1,8,1,4350
0,6,1,3,1,4350
1,0,10,7,0,4400
1,1,10,2,0,4400
1,0,8,4,1,4400
1,0,8,12,0,4400
1,1,8,7,0,4400
1,2,8,2,0,4400
1,0,6,1,2,4400
1,0,6,9,1,4400
1,1,6,4,1,4400
1,0,6,17,0,4400
1,1,6,12,0,4400
1,2,6,7,0,4400
1,3,6,2,0,4400
1,0,4,6,2,4400
1,1,4,1,2,4400
1,0,4,14,1,4400
1,1,4,9,1,4400
1,2,4,4,1,4400
1,1,4,17,0,4400
1,2,4,12,0,4400
1,3,4,7,0,4400
1,4,4,2,0,4400
1,0,2,3,3,4400
1,0,2,11,2,4400
1,1,2,6,2,4400
1,2,2,1,2,4400
1,0,2,19,1,4400
1,1,2,14,1,4400
1,2,2,9,1,4400
1,3,2,4,1,4400
1,2,2,17,0,4400
1,3,2,12,0,4400
1,4,2,7,0,4400
1,5,2,2,0,4400
1,0,0,0,4,4400
1,0,0,8,3,4400
1,1,0,3,3,4400
1,0,0,16,2,4400
1,1,0,11,2,4400
1,2,0,6,2,4400
1,3,0,1,2,4400
1,1,0,19,1,4400
1,2,0,14,1,4400
1,3,0,9,1,4400
1,4,0,4,1,4400
1,3,0,17,0,4400
1,4,0,12,0,4400
1,5,0,7,0,4400
1,6,0,2,0,4400
0,0,10,3,2,4400
0,0,10,11,1,4400
0,1,10,6,1,4400
0,2,10,1,1,4400
0,0,8,0,3,4400
0,0,8,8,2,4400
0,1,8,3,2,4400
0,0,8,16,1,4400
0,1,8,11,1,4400
0,2,8,6,1,4400
0,3,8,1,1,4400
0,0,6,5,3,4400
0,1,6,0,3,4400
0,0,6,13,2,4400
0,1,6,8,2,4400
0,2,6,3,2,4400
0,1,6,16,1,4400
0,2,6,11,1,4400
0,3,6,6,1,4400
0,4,6,1,1,4400
0,0,4,2,4,4400
0,0,4,10,3,4400
0,1,4,5,3,4400
0,2,4,0,3,4400
0,0,4,18,2,4400
0,1,4,13,2,4400
0,2,4,8,2,4400
0,3,4,3,2,4400
0,2,4,16,1,4400
0,3,4,11,1,4400
0,4,4,6,1,4400
0,5,4,1,1,4400
0,0,2,7,4,4400
0,1,2,2,4,4400
0,0,2,15,3,4400
0,1,2,10,3,4400
0,2,2,5,3,4400
0,3,2,0,3,4400
0,1,2,18,2,4400
0,2,2,13,2,4400
0,3,2,8,2,4400
0,4,2,3,2,4400
0,3,2,16,1,4400
0,4,2,11,1,4400
0,5,2,6,1,4400
0,6,2,1,1,4400
0,0,0,4,5,4400
0,0,0,12,4,4400
0,1,0,7,4,4400
0,2,0,2,4,4400
0,1,0,15,3,4400
0,2,0,10,3,4400
0,3,0,5,3,4400
0,4,0,0,3,4400
0,2,0,18,2,4400
0,3,0,13,2,4400
0,4,0,8,2,4400
0,5,0,3,2,4400
0,4,0,16,1,4400
0,5,0,11,1,4400
0,6,0,6,1,4400
0,7,0,1,1,4400
1,0,9,2,1,4450
1,0,9,10,0,4450
1,1,9,5,0,4450
1,2,9,0,0,4450
1,0,7,7,1,4450
1,1,7,2,1,4450
1,0,7,15,0,4450
1,1,7,10,0,4450
1,2,7,5,0,4450
1,3,7,0,0,4450
1,0,5,4,2,4450
1,0,5,12,1,4450
1,1,5,7,1,4450
1,2,5,2,1,4450
1,1,5,15,0,4450
1,2,5,10,0,4450
1,3,5,5,0,4450
1,4,5,0,0,4450
1,0,3,1,3,4450
1,0,3,9,2,4450
1,1,3,4,2,4450
1,0,3,17,1,4450
1,1,3,12,1,4450
1,2,3,7,1,4450
1,3,3,2,1,4450
1,2,3,15,0,4450
1,3,3,10,0,4450
1,4,3,5,0,4450
1,5,3,0,0,4450
1,0,1,6,3,4450
1,1,1,1,3,4450
1,0,1,14,2,4450
1,1,1,9,2,4450
1,2,1,4,2,4450
1,1,1,17,1,4450
1,2,1,12,1,4450
1,3,1,7,1,4450
1,4,1,2,1,4450
1,3,1,15,0,4450
1,4,1,10,0,4450
1,5,1,5,0,4450
1,6,1,0,0,4450
0,0,9,6,2,4450
0,1,9,1,2,4450
0,0,9,14,1,4450
0,1,9,9,1,4450
0,2,9,4,1,4450
0,0,7,3,3,4450
0,0,7,11,2,4450
0,1,7,6,2,4450
0,2,7,1,2,4450
0,0,7,19,1,4450
0,1,7,14,1,4450
0,2,7,9,1,4450
0,3,7,4,1,4450
0,0,5,0,4,4450
0,0,5,8,3,4450
0,1,5,3,3,4450
0,0,5,16,2,4450
0,1,5,11,2,4450
0,2,5,6,2,4450
0,3,5,1,2,4450
0,1,5,19,1,4450
0,2,5,14,1,4450
0,3,5,9,1,4450
